phase	epoch	train_loss	train_acc	val_loss	val_acc	train_reward	val_reward	elapsed_sec
SL	57	0.643276	0.713668	0.668705	0.685944	nan	nan	0.239
SL	58	0.642241	0.713507	0.668388	0.685212	nan	nan	0.241
SL	59	0.641250	0.713828	0.668104	0.685212	nan	nan	0.243
SL	60	0.640302	0.714469	0.667862	0.684480	nan	nan	0.245
RL	1	0.643692	0.714309	0.669354	0.691801	0.426559	0.313445	0.745
RL	2	0.643522	0.714789	0.669062	0.691801	0.426901	0.314782	1.484
RL	3	0.643417	0.714148	0.668764	0.691801	0.426591	0.314782	1.923
RL	4	0.643301	0.713988	0.668535	0.691069	0.427052	0.314686	2.359
RL	5	0.643171	0.713828	0.668271	0.690337	0.427083	0.315374	2.780
RL	6	0.643044	0.713347	0.668053	0.688873	0.427237	0.316256	3.209
RL	7	0.642934	0.712706	0.667872	0.688141	0.426912	0.316082	3.727
RL	8	0.642852	0.712226	0.667685	0.690337	0.427228	0.317844	4.271
RL	9	0.642793	0.712226	0.667525	0.688873	0.427601	0.317269	4.699
RL	10	0.642767	0.712065	0.667400	0.689605	0.427672	0.318357	5.149
RL	11	0.642778	0.712867	0.667293	0.688141	0.427856	0.320786	5.591
RL	12	0.642797	0.712706	0.667191	0.688141	0.428510	0.321828	6.073
RL	13	0.642828	0.713668	0.667102	0.688141	0.428626	0.352279	6.515
RL	14	0.642888	0.714148	0.667027	0.689605	0.428949	0.352420	7.054
RL	15	0.642978	0.714950	0.666978	0.691069	0.428813	0.352378	7.512
RL	16	0.643102	0.714629	0.666933	0.692533	0.428752	0.352290	7.955
RL	17	0.643229	0.714629	0.666912	0.692533	0.428922	0.356727	8.418
RL	18	0.643372	0.714950	0.666919	0.691801	0.429221	0.356554	8.866
RL	19	0.643526	0.714469	0.666937	0.690337	0.429567	0.356438	9.330
RL	20	0.643697	0.713988	0.666979	0.691069	0.429701	0.355946	9.939
RL	21	0.643866	0.713027	0.667040	0.689605	0.429518	0.355760	10.394
RL	22	0.644055	0.712867	0.667122	0.687409	0.429740	0.356705	10.840
RL	23	0.644261	0.711905	0.667216	0.688141	0.430481	0.356204	11.286
RL	24	0.644498	0.711424	0.667329	0.687409	0.430558	0.356343	11.729
RL	25	0.644751	0.711585	0.667457	0.685944	0.430915	0.357676	12.184
RL	26	0.645019	0.711104	0.667606	0.684480	0.431811	0.358623	12.683
RL	27	0.645315	0.710463	0.667778	0.685212	0.432152	0.358324	13.285
RL	28	0.645636	0.710143	0.667995	0.685212	0.433331	0.358156	13.739
RL	29	0.645980	0.709982	0.668240	0.683016	0.433266	0.358758	14.207
RL	30	0.646317	0.710463	0.668486	0.680820	0.433739	0.358399	14.670
RL	31	0.646678	0.709822	0.668760	0.680088	0.433916	0.387364	15.148
RL	32	0.647030	0.708701	0.669042	0.679356	0.433787	0.386666	15.617
RL	33	0.647396	0.708380	0.669330	0.675695	0.433717	0.387540	16.345
RL	34	0.647742	0.708220	0.669610	0.676428	0.434378	0.388439	17.048
RL	35	0.648086	0.707419	0.669896	0.676428	0.434787	0.389272	17.539
RL	36	0.648441	0.706618	0.670203	0.673499	0.436377	0.389219	18.013
RL	37	0.648813	0.705816	0.670534	0.672767	0.436414	0.389785	18.496
RL	38	0.649196	0.704855	0.670878	0.670571	0.436553	0.390763	18.974
RL	39	0.649553	0.703733	0.671208	0.669107	0.436343	0.390551	19.543
RL	40	0.649930	0.704054	0.671549	0.667643	0.436590	0.391025	20.032
RL	41	0.650281	0.703573	0.671871	0.667643	0.436809	0.390928	20.510
RL	42	0.650632	0.703413	0.672202	0.663982	0.436912	0.390798	20.977
RL	43	0.650969	0.702932	0.672496	0.663250	0.436723	0.390798	21.453
RL	44	0.651329	0.703413	0.672813	0.663982	0.437290	0.391133	21.928
RL	45	0.651727	0.701971	0.673146	0.664715	0.437248	0.391838	22.467
RL	46	0.652151	0.701009	0.673502	0.664715	0.437665	0.392768	22.975
RL	47	0.652521	0.700208	0.673803	0.664715	0.438561	0.392602	23.469
RL	48	0.652946	0.699407	0.674160	0.664715	0.438426	0.392335	23.955
RL	49	0.653373	0.699888	0.674505	0.659590	0.438417	0.392229	24.443
RL	50	0.653824	0.699728	0.674850	0.658858	0.438637	0.392074	25.023
RL	51	0.654266	0.698926	0.675197	0.658126	0.438504	0.391872	25.805
RL	52	0.654682	0.697645	0.675551	0.659590	0.438332	0.392265	26.383
RL	53	0.655104	0.696523	0.675918	0.658858	0.438304	0.392098	26.856
RL	54	0.655561	0.696203	0.676348	0.657394	0.438420	0.391945	27.345
